community_id,size,labelled_size,purity,n_distinct_synsets
0,5,3,0.3333333333333333,3
1,5,2,0.5,2
2,4,2,0.5,2
3,4,2,1.0,1
5,4,2,0.5,2
6,4,2,0.5,2
8,4,2,1.0,1
9,4,2,0.5,2
10,5,2,0.5,2
11,5,2,0.5,2
12,5,3,0.6666666666666666,2
14,4,2,0.5,2
16,4,2,0.5,2
17,8,6,0.5,3
19,4,2,0.5,2
20,7,2,0.5,2
23,4,2,0.5,2
24,6,4,0.5,3
25,5,3,1.0,1
26,5,2,1.0,1
27,4,3,1.0,1
29,4,2,1.0,1
30,4,3,1.0,1
31,4,2,0.5,2
33,4,2,0.5,2
34,4,2,0.5,2
35,4,3,1.0,1
37,5,3,0.6666666666666666,2
40,4,2,0.5,2
41,5,2,0.5,2
42,4,2,0.5,2
43,4,2,0.5,2
44,4,2,0.5,2
46,4,2,0.5,2
47,4,3,0.3333333333333333,3
48,4,3,0.6666666666666666,2
49,4,4,1.0,1
50,4,2,0.5,2
51,4,3,0.6666666666666666,2
52,5,3,0.6666666666666666,2
53,4,2,0.5,2
54,4,2,0.5,2
55,4,2,1.0,1
56,4,4,0.25,4
57,4,3,1.0,1
58,4,4,1.0,1
59,5,5,1.0,1
60,4,4,0.5,2
61,4,4,1.0,1
62,4,4,1.0,1
63,4,4,1.0,1
64,5,5,1.0,1
65,4,4,1.0,1
66,4,4,1.0,1
67,4,4,1.0,1
