community_id,size
0,1458
1,1170
2,1010
3,663
4,660
5,607
6,595
7,460
8,452
9,418
10,389
11,380
12,364
13,339
14,319
15,317
16,311
17,279
18,274
19,264
20,259
21,255
22,231
23,202
24,179
25,169
26,162
27,156
28,145
29,134
30,132
31,130
32,128
33,126
34,112
35,111
36,106
37,103
38,95
39,82
40,80
41,68
42,67
43,64
44,59
45,56
46,39
47,36
48,34
49,28
50,23
51,22
52,21
53,20
54,14
55,14
56,13
57,12
58,7
59,7
60,6
61,6
62,6
63,5
64,5
65,5
66,4
67,4
68,4
69,4
70,3
71,3
72,2
73,2
74,2
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
