community_id,size
34,382
1,351
2,280
3,729
5,1353
6,322
7,95
9,337
10,130
13,145
14,102
15,1201
19,166
35,422
44,650
22,231
23,314
24,82
25,64
26,1680
27,392
20,158
29,650
30,117
39,289
32,219
33,126
36,107
45,321
38,321
40,265
41,128
71,256
47,179
48,418
49,77
50,34
51,67
52,163
53,68
54,2
56,22
57,1
58,56
59,254
60,7
61,202
62,14
63,4
64,78
65,6
66,39
67,162
68,21
69,36
70,23
72,5
73,4
74,4
75,5
76,59
77,1
78,4
79,1
80,7
81,20
82,14
83,6
84,12
85,5
86,13
43,3
46,1
16,3
17,2
18,6
21,1
55,2
28,1
31,1
0,1
4,1
37,1
8,1
42,1
11,1
12,1
