clique_id,size,hard_coherence,soft_coherence
0,2,1.0,0.5
1,2,1.0,0.5
2,2,1.0,1.0
3,2,1.0,0.6666666666666666
4,3,1.0,0.5
5,3,1.0,0.5
6,3,1.0,0.5555555555555555
7,3,1.0,0.7777777777777777
8,4,1.0,0.8333333333333334
9,3,1.0,0.5555555555555555
10,2,1.0,0.5
11,3,1.0,1.0
12,2,1.0,0.5
13,2,1.0,0.5
14,2,1.0,0.5
15,2,1.0,1.0
16,7,1.0,0.8571428571428571
17,7,1.0,1.0
18,7,1.0,1.0
19,2,1.0,1.0
20,4,0.75,0.75
21,3,1.0,0.8931623931623931
22,2,1.0,0.8461538461538461
23,2,1.0,0.9166666666666666
24,2,1.0,0.9166666666666666
25,2,1.0,0.3333333333333333
26,3,1.0,0.7777777777777777
27,2,1.0,0.3333333333333333
28,2,1.0,1.0
29,3,1.0,1.0
30,3,1.0,1.0
31,2,1.0,0.3333333333333333
32,2,1.0,1.0
33,3,1.0,1.0
34,3,1.0,1.0
35,2,1.0,1.0
36,3,1.0,1.0
37,2,1.0,1.0
38,2,1.0,1.0
39,2,1.0,1.0
40,2,1.0,1.0
41,2,1.0,1.0
42,2,1.0,1.0
43,2,1.0,1.0
44,2,1.0,1.0
45,3,1.0,1.0
46,3,1.0,1.0
47,3,1.0,1.0
48,2,1.0,1.0
49,2,1.0,1.0
50,2,1.0,0.75
51,2,1.0,0.75
52,2,1.0,0.75
53,3,1.0,0.8333333333333334
54,2,1.0,1.0
55,4,1.0,0.8333333333333334
56,2,1.0,1.0
57,2,1.0,1.0
58,2,1.0,1.0
59,2,1.0,1.0
60,2,1.0,1.0
61,3,0.6666666666666666,1.0
62,4,1.0,0.6666666666666666
63,2,1.0,0.5
64,2,1.0,1.0
65,2,1.0,1.0
66,2,1.0,1.0
67,2,1.0,1.0
68,2,1.0,1.0
69,2,1.0,1.0
70,2,1.0,1.0
71,2,1.0,0.9166666666666666
72,2,1.0,1.0
73,2,1.0,1.0
74,2,1.0,1.0
75,2,1.0,1.0
76,2,1.0,1.0
77,2,1.0,1.0
