C,K,avg_lexical_domain_purity,avg_members_per_entity,avg_purity_mapped,elapsed_s,fpc,method,n_active,n_mapped,n_perfect,n_total,perfect_lexical_domain_ratio,perfect_ratio_mapped,seed,tau,total_assign,ustar
,50,0.2587,,0.2587,5.931410789489746,,MMSB,34481,50,0,50,0.0,0.0,450460150,0.45,77949,0.01
,50,0.2634,,0.2634,5.931410789489746,,MMSB,34481,50,0,50,0.0,0.0,450460150,0.45,72200,0.02
,50,0.2702,,0.2702,5.931410789489746,,MMSB,34481,50,0,50,0.0,0.0,450460150,0.45,64194,0.05
,50,0.2794,,0.2794,5.931410789489746,,MMSB,34481,50,0,50,0.0,0.0,450460150,0.45,58095,0.1
,50,0.3125,,0.3125,5.931410789489746,,MMSB,34481,50,0,50,0.0,0.0,450460150,0.45,49009,0.2
,200,0.2923,,0.2923,17.60119104385376,,MMSB,34481,200,0,200,0.0,0.0,451836550,0.45,96377,0.01
,200,0.2991,,0.2991,17.60119104385376,,MMSB,34481,200,0,200,0.0,0.0,451836550,0.45,88952,0.02
,200,0.3073,,0.3073,17.60119104385376,,MMSB,34481,200,0,200,0.0,0.0,451836550,0.45,78119,0.05
,200,0.3334,,0.3334,17.60119104385376,,MMSB,34481,200,0,200,0.0,0.0,451836550,0.45,66828,0.1
,200,0.4351,,0.4351,17.60119104385376,,MMSB,34481,200,2,200,0.01,0.01,451836550,0.45,45630,0.2
,1000,0.3321,,0.3321,180.1071538925171,,MMSB,34481,1000,0,1000,0.0,0.0,459177350,0.45,112065,0.01
,1000,0.3378,,0.3378,180.1071538925171,,MMSB,34481,1000,0,1000,0.0,0.0,459177350,0.45,103377,0.02
,1000,0.3716,,0.3716,180.1071538925171,,MMSB,34481,1000,6,1000,0.006,0.006,459177350,0.45,86084,0.05
,1000,0.4794,,0.4794,180.1071538925171,,MMSB,34481,1000,36,1000,0.036,0.036,459177350,0.45,59173,0.1
,1000,0.5567,,0.5567,180.1071538925171,,MMSB,34481,999,82,1000,0.0821,0.0821,459177350,0.45,41978,0.2
,50,0.1483,,0.1483,5.154424667358398,,MMSB,25970,50,0,50,0.0,0.0,500460300,0.5,72674,0.01
,50,0.1489,,0.1489,5.154424667358398,,MMSB,25970,50,0,50,0.0,0.0,500460300,0.5,68903,0.02
,50,0.1492,,0.1492,5.154424667358398,,MMSB,25970,50,0,50,0.0,0.0,500460300,0.5,63768,0.05
,50,0.1494,,0.1494,5.154424667358398,,MMSB,25970,50,0,50,0.0,0.0,500460300,0.5,58338,0.1
,50,0.1609,,0.1609,5.154424667358398,,MMSB,25970,50,0,50,0.0,0.0,500460300,0.5,45830,0.2
,200,0.1634,,0.1634,15.402066230773926,,MMSB,25970,200,0,200,0.0,0.0,501836700,0.5,103201,0.01
,200,0.1657,,0.1657,15.402066230773926,,MMSB,25970,200,0,200,0.0,0.0,501836700,0.5,96155,0.02
,200,0.1711,,0.1711,15.402066230773926,,MMSB,25970,200,0,200,0.0,0.0,501836700,0.5,86139,0.05
,200,0.1826,,0.1826,15.402066230773926,,MMSB,25970,200,0,200,0.0,0.0,501836700,0.5,70703,0.1
,200,0.2976,,0.2976,15.402066230773926,,MMSB,25970,200,2,200,0.01,0.01,501836700,0.5,32915,0.2
,1000,0.2018,,0.2018,152.88090133666992,,MMSB,25970,1000,0,1000,0.0,0.0,509177500,0.5,128295,0.01
,1000,0.2074,,0.2074,152.88090133666992,,MMSB,25970,1000,0,1000,0.0,0.0,509177500,0.5,117861,0.02
,1000,0.2803,,0.2803,152.88090133666992,,MMSB,25970,1000,12,1000,0.012,0.012,509177500,0.5,83634,0.05
,1000,0.4555,,0.4555,152.88090133666992,,MMSB,25970,999,78,1000,0.0781,0.0781,509177500,0.5,40008,0.1
,1000,0.5002,,0.5002,152.88090133666992,,MMSB,25970,999,91,1000,0.0911,0.0911,509177500,0.5,27061,0.2
,50,0.1529,,0.1529,3.8658509254455566,,MMSB,17532,50,0,50,0.0,0.0,550460450,0.55,53179,0.01
,50,0.1515,,0.1515,3.8658509254455566,,MMSB,17532,50,0,50,0.0,0.0,550460450,0.55,51180,0.02
,50,0.149,,0.149,3.8658509254455566,,MMSB,17532,50,0,50,0.0,0.0,550460450,0.55,47849,0.05
,50,0.1469,,0.1469,3.8658509254455566,,MMSB,17532,50,0,50,0.0,0.0,550460450,0.55,44299,0.1
,50,0.149,,0.149,3.8658509254455566,,MMSB,17532,50,0,50,0.0,0.0,550460450,0.55,34058,0.2
,200,0.156,,0.156,10.430972814559937,,MMSB,17532,200,0,200,0.0,0.0,551836850,0.55,81599,0.01
,200,0.1551,,0.1551,10.430972814559937,,MMSB,17532,200,0,200,0.0,0.0,551836850,0.55,76932,0.02
,200,0.1557,,0.1557,10.430972814559937,,MMSB,17532,200,0,200,0.0,0.0,551836850,0.55,69054,0.05
,200,0.1733,,0.1733,10.430972814559937,,MMSB,17532,200,0,200,0.0,0.0,551836850,0.55,52327,0.1
,200,0.2909,,0.2909,10.430972814559937,,MMSB,17532,200,2,200,0.01,0.01,551836850,0.55,20673,0.2
,1000,0.1825,,0.1825,84.70863056182861,,MMSB,17532,1000,0,1000,0.0,0.0,559177650,0.55,104549,0.01
,1000,0.1924,,0.1924,84.70863056182861,,MMSB,17532,1000,1,1000,0.001,0.001,559177650,0.55,95461,0.02
,1000,0.3095,,0.3095,84.70863056182861,,MMSB,17532,998,20,1000,0.02,0.02,559177650,0.55,56440,0.05
,1000,0.445,,0.445,84.70863056182861,,MMSB,17532,988,73,1000,0.0739,0.0739,559177650,0.55,28965,0.1
,1000,0.489,,0.489,84.70863056182861,,MMSB,17532,984,92,1000,0.0935,0.0935,559177650,0.55,17601,0.2
50,,0.1342,50.0,0.1342,4.844433069229126,0.02,FCM,,50,0,50,0.0,0.0,,,2027950,0.01
50,,0.1377,24.872654651248798,0.1377,4.844433069229126,0.02,FCM,,50,0,50,0.0,0.0,,,1008810,0.02
50,,0.0,0.0,0.0,4.844433069229126,0.02,FCM,,0,0,0,0.0,0.0,,,0,0.05
50,,0.0,0.0,0.0,4.844433069229126,0.02,FCM,,0,0,0,0.0,0.0,,,0,0.1
50,,0.0,0.0,0.0,4.844433069229126,0.02,FCM,,0,0,0,0.0,0.0,,,0,0.2
200,,0.0,0.0,0.0,11.902331829071045,0.005,FCM,,0,0,0,0.0,0.0,,,0,0.01
200,,0.0,0.0,0.0,11.902331829071045,0.005,FCM,,0,0,0,0.0,0.0,,,0,0.02
200,,0.0,0.0,0.0,11.902331829071045,0.005,FCM,,0,0,0,0.0,0.0,,,0,0.05
200,,0.0,0.0,0.0,11.902331829071045,0.005,FCM,,0,0,0,0.0,0.0,,,0,0.1
200,,0.0,0.0,0.0,11.902331829071045,0.005,FCM,,0,0,0,0.0,0.0,,,0,0.2
1000,,0.0,0.0,0.0,62.82300925254822,0.001,FCM,,0,0,0,0.0,0.0,,,0,0.01
1000,,0.0,0.0,0.0,62.82300925254822,0.001,FCM,,0,0,0,0.0,0.0,,,0,0.02
1000,,0.0,0.0,0.0,62.82300925254822,0.001,FCM,,0,0,0,0.0,0.0,,,0,0.05
1000,,0.0,0.0,0.0,62.82300925254822,0.001,FCM,,0,0,0,0.0,0.0,,,0,0.1
1000,,0.0,0.0,0.0,62.82300925254822,0.001,FCM,,0,0,0,0.0,0.0,,,0,0.2
50,,0.1342,49.93959417145393,0.1342,1.8521754741668701,,FKMedoids,,50,0,50,0.0,0.0,,,2025500,0.01
50,,0.1366,23.013264626839913,0.1366,1.8521754741668701,,FKMedoids,,50,0,50,0.0,0.0,,,933395,0.02
50,,0.5,0.0004437979240119332,0.5,1.8521754741668701,,FKMedoids,,1,0,8,0.0,0.0,,,18,0.05
50,,0.0,0.0,0.0,1.8521754741668701,,FKMedoids,,0,0,0,0.0,0.0,,,0,0.1
50,,0.0,0.0,0.0,1.8521754741668701,,FKMedoids,,0,0,0,0.0,0.0,,,0,0.2
200,,0.8688,0.016815010232007693,0.8688,7.514766216278076,,FKMedoids,,117,84,151,0.7179,0.7179,,,682,0.01
200,,0.0,9.862176089154072e-05,0.0,7.514766216278076,,FKMedoids,,0,0,2,0.0,0.0,,,4,0.02
200,,0.0,0.0,0.0,7.514766216278076,,FKMedoids,,0,0,0,0.0,0.0,,,0,0.05
200,,0.0,0.0,0.0,7.514766216278076,,FKMedoids,,0,0,0,0.0,0.0,,,0,0.1
200,,0.0,0.0,0.0,7.514766216278076,,FKMedoids,,0,0,0,0.0,0.0,,,0,0.2
1000,,0.0,0.0,0.0,5.709408521652222,,FKMedoids,,0,0,0,0.0,0.0,,,0,0.01
1000,,0.0,0.0,0.0,5.709408521652222,,FKMedoids,,0,0,0,0.0,0.0,,,0,0.02
1000,,0.0,0.0,0.0,5.709408521652222,,FKMedoids,,0,0,0,0.0,0.0,,,0,0.05
1000,,0.0,0.0,0.0,5.709408521652222,,FKMedoids,,0,0,0,0.0,0.0,,,0,0.1
1000,,0.0,0.0,0.0,5.709408521652222,,FKMedoids,,0,0,0,0.0,0.0,,,0,0.2
