K,avg_lexical_domain_purity,avg_purity_mapped,elapsed_s,method,n_active,n_mapped,n_perfect,n_total,perfect_lexical_domain_ratio,perfect_ratio_mapped,seed,tau,total_assign,ustar
50,0.1491,0.1491,4.914340019226074,MMSB,19876,50,0,50,0.0,0.0,450460150,0.45,55320,0.01
50,0.1498,0.1498,4.914340019226074,MMSB,19876,50,0,50,0.0,0.0,450460150,0.45,53454,0.02
50,0.1517,0.1517,4.914340019226074,MMSB,19876,50,0,50,0.0,0.0,450460150,0.45,50442,0.05
50,0.1531,0.1531,4.914340019226074,MMSB,19876,50,0,50,0.0,0.0,450460150,0.45,47248,0.1
50,0.175,0.175,4.914340019226074,MMSB,19876,50,0,50,0.0,0.0,450460150,0.45,37472,0.2
200,0.1622,0.1622,12.399101257324219,MMSB,19876,200,0,200,0.0,0.0,451836550,0.45,85084,0.01
200,0.1641,0.1641,12.399101257324219,MMSB,19876,200,0,200,0.0,0.0,451836550,0.45,80728,0.02
200,0.1691,0.1691,12.399101257324219,MMSB,19876,200,0,200,0.0,0.0,451836550,0.45,72586,0.05
200,0.2059,0.2059,12.399101257324219,MMSB,19876,200,0,200,0.0,0.0,451836550,0.45,57373,0.1
200,0.3479,0.3479,12.399101257324219,MMSB,19876,200,8,200,0.04,0.04,451836550,0.45,26456,0.2
1000,0.1952,0.1952,103.27020001411438,MMSB,19876,1000,0,1000,0.0,0.0,459177350,0.45,123609,0.01
1000,0.2115,0.2115,103.27020001411438,MMSB,19876,1000,4,1000,0.004,0.004,459177350,0.45,110381,0.02
1000,0.3455,0.3455,103.27020001411438,MMSB,19876,999,50,1000,0.0501,0.0501,459177350,0.45,66107,0.05
1000,0.4848,0.4848,103.27020001411438,MMSB,19876,993,123,1000,0.1239,0.1239,459177350,0.45,35386,0.1
1000,0.5517,0.5517,103.27020001411438,MMSB,19876,989,155,1000,0.1567,0.1567,459177350,0.45,20588,0.2
50,0.1431,0.1431,1.6274120807647705,MMSB,9370,50,0,50,0.0,0.0,500460300,0.5,28315,0.01
50,0.1443,0.1443,1.6274120807647705,MMSB,9370,50,0,50,0.0,0.0,500460300,0.5,27344,0.02
50,0.1455,0.1455,1.6274120807647705,MMSB,9370,50,0,50,0.0,0.0,500460300,0.5,26104,0.05
50,0.1457,0.1457,1.6274120807647705,MMSB,9370,50,0,50,0.0,0.0,500460300,0.5,24712,0.1
50,0.1666,0.1666,1.6274120807647705,MMSB,9370,50,0,50,0.0,0.0,500460300,0.5,17981,0.2
200,0.158,0.158,4.375725507736206,MMSB,9370,200,0,200,0.0,0.0,501836700,0.5,48527,0.01
200,0.1616,0.1616,4.375725507736206,MMSB,9370,200,0,200,0.0,0.0,501836700,0.5,45289,0.02
200,0.197,0.197,4.375725507736206,MMSB,9370,200,0,200,0.0,0.0,501836700,0.5,34370,0.05
200,0.272,0.272,4.375725507736206,MMSB,9370,198,4,200,0.0202,0.0202,501836700,0.5,22770,0.1
200,0.3884,0.3884,4.375725507736206,MMSB,9370,192,19,200,0.099,0.099,501836700,0.5,13294,0.2
1000,0.4225,0.4225,41.14392447471619,MMSB,9370,930,115,1000,0.1237,0.1237,509177500,0.5,23473,0.01
1000,0.4539,0.4539,41.14392447471619,MMSB,9370,925,130,1000,0.1405,0.1405,509177500,0.5,19951,0.02
1000,0.5061,0.5061,41.14392447471619,MMSB,9370,899,164,1000,0.1824,0.1824,509177500,0.5,16000,0.05
1000,0.5534,0.5534,41.14392447471619,MMSB,9370,881,201,1000,0.2281,0.2281,509177500,0.5,13381,0.1
1000,0.5986,0.5986,41.14392447471619,MMSB,9370,835,235,1000,0.2814,0.2814,509177500,0.5,11141,0.2
50,0.1863,0.1863,0.32250499725341797,MMSB,3370,50,0,50,0.0,0.0,550460450,0.55,7634,0.01
50,0.1929,0.1929,0.32250499725341797,MMSB,3370,50,0,50,0.0,0.0,550460450,0.55,6972,0.02
50,0.2231,0.2231,0.32250499725341797,MMSB,3370,50,0,50,0.0,0.0,550460450,0.55,6028,0.05
50,0.23,0.23,0.32250499725341797,MMSB,3370,48,0,50,0.0,0.0,550460450,0.55,5329,0.1
50,0.2545,0.2545,0.32250499725341797,MMSB,3370,47,1,50,0.0213,0.0213,550460450,0.55,4491,0.2
200,0.325,0.325,1.2813129425048828,MMSB,3370,196,7,200,0.0357,0.0357,551836850,0.55,6422,0.01
200,0.3446,0.3446,1.2813129425048828,MMSB,3370,193,8,200,0.0415,0.0415,551836850,0.55,5913,0.02
200,0.3646,0.3646,1.2813129425048828,MMSB,3370,184,7,200,0.038,0.038,551836850,0.55,5199,0.05
200,0.4042,0.4042,1.2813129425048828,MMSB,3370,180,12,200,0.0667,0.0667,551836850,0.55,4591,0.1
200,0.4475,0.4475,1.2813129425048828,MMSB,3370,172,18,200,0.1047,0.1047,551836850,0.55,4056,0.2
1000,0.4895,0.4895,14.700172424316406,MMSB,3370,875,89,1000,0.1017,0.1017,559177650,0.55,7360,0.01
1000,0.5352,0.5352,14.700172424316406,MMSB,3370,839,112,1000,0.1335,0.1335,559177650,0.55,6176,0.02
1000,0.5879,0.5879,14.700172424316406,MMSB,3370,760,152,1000,0.2,0.2,559177650,0.55,4838,0.05
1000,0.6356,0.6356,14.700172424316406,MMSB,3370,700,180,1000,0.2571,0.2571,559177650,0.55,4108,0.1
1000,0.6736,0.6736,14.700172424316406,MMSB,3370,635,204,1000,0.3213,0.3213,559177650,0.55,3594,0.2
