K,avg_lexical_domain_purity,avg_purity_mapped,elapsed_s,method,n_active,n_mapped,n_perfect,n_total,perfect_lexical_domain_ratio,perfect_ratio_mapped,seed,tau,total_assign,ustar
1000,0.1952,0.1952,102.16273593902588,MMSB,19876,1000,0,1000,0.0,0.0,459177350,0.45,123609,0.01
1000,0.2115,0.2115,102.16273593902588,MMSB,19876,1000,4,1000,0.004,0.004,459177350,0.45,110381,0.02
1000,0.3455,0.3455,102.16273593902588,MMSB,19876,999,50,1000,0.0501,0.0501,459177350,0.45,66107,0.05
1000,0.4848,0.4848,102.16273593902588,MMSB,19876,993,123,1000,0.1239,0.1239,459177350,0.45,35386,0.1
1000,0.5517,0.5517,102.16273593902588,MMSB,19876,989,155,1000,0.1567,0.1567,459177350,0.45,20588,0.2
1000,0.4225,0.4225,39.762282371520996,MMSB,9370,930,115,1000,0.1237,0.1237,509177500,0.5,23473,0.01
1000,0.4539,0.4539,39.762282371520996,MMSB,9370,925,130,1000,0.1405,0.1405,509177500,0.5,19951,0.02
1000,0.5061,0.5061,39.762282371520996,MMSB,9370,899,164,1000,0.1824,0.1824,509177500,0.5,16000,0.05
1000,0.5534,0.5534,39.762282371520996,MMSB,9370,881,201,1000,0.2281,0.2281,509177500,0.5,13381,0.1
1000,0.5986,0.5986,39.762282371520996,MMSB,9370,835,235,1000,0.2814,0.2814,509177500,0.5,11141,0.2
1000,0.4895,0.4895,13.874441385269165,MMSB,3370,875,89,1000,0.1017,0.1017,559177650,0.55,7360,0.01
1000,0.5352,0.5352,13.874441385269165,MMSB,3370,839,112,1000,0.1335,0.1335,559177650,0.55,6176,0.02
1000,0.5879,0.5879,13.874441385269165,MMSB,3370,760,152,1000,0.2,0.2,559177650,0.55,4838,0.05
1000,0.6356,0.6356,13.874441385269165,MMSB,3370,700,180,1000,0.2571,0.2571,559177650,0.55,4108,0.1
1000,0.6736,0.6736,13.874441385269165,MMSB,3370,635,204,1000,0.3213,0.3213,559177650,0.55,3594,0.2
