model,tau,cluster_id,size,labelled_size,lexical_domain_purity,n_distinct_domains,dominant_domain
rotate,0.45,11,2,2,0.5,2,noun.Tops
rotate,0.45,21,3,2,0.5,2,noun.event
rotate,0.45,22,4,3,0.3333333333333333,3,noun.event
rotate,0.45,93,2,2,0.5,2,noun.attribute
rotate,0.45,94,4,4,0.75,2,noun.attribute
rotate,0.45,95,2,2,0.5,2,noun.attribute
rotate,0.45,102,2,2,0.5,2,noun.act
rotate,0.45,163,6,6,1.0,1,noun.group
rotate,0.45,164,6,6,1.0,1,noun.group
rotate,0.45,165,6,6,1.0,1,noun.group
rotate,0.45,166,6,6,1.0,1,noun.group
rotate,0.45,167,6,6,1.0,1,noun.group
rotate,0.45,168,6,6,1.0,1,noun.group
rotate,0.45,169,2,2,0.5,2,noun.group
rotate,0.45,170,2,2,1.0,1,noun.state
rotate,0.45,171,2,2,0.5,2,noun.state
rotate,0.45,172,2,2,0.5,2,noun.state
rotate,0.45,173,2,2,1.0,1,noun.act
rotate,0.45,174,2,2,0.5,2,noun.act
rotate,0.45,175,2,2,1.0,1,noun.act
rotate,0.45,176,2,2,1.0,1,noun.act
rotate,0.45,177,2,2,1.0,1,noun.act
rotate,0.45,178,2,2,0.5,2,noun.person
rotate,0.45,181,2,2,0.5,2,noun.communication
rotate,0.45,182,2,2,1.0,1,noun.communication
rotate,0.45,183,2,2,1.0,1,noun.act
rotate,0.45,184,2,2,1.0,1,noun.act
rotate,0.45,191,2,2,0.5,2,noun.cognition
rotate,0.45,194,3,3,0.6666666666666666,2,noun.communication
rotate,0.45,195,3,3,0.6666666666666666,2,noun.communication
rotate,0.45,196,2,2,0.5,2,noun.communication
rotate,0.45,197,2,2,0.5,2,noun.person
rotate,0.45,198,2,2,0.5,2,noun.process
rotate,0.45,199,2,2,1.0,1,noun.act
rotate,0.45,203,2,2,0.5,2,noun.act
rotate,0.45,204,2,2,1.0,1,noun.act
rotate,0.45,213,2,2,0.5,2,noun.act
rotate,0.45,214,2,2,1.0,1,noun.act
rotate,0.45,215,2,2,1.0,1,noun.act
rotate,0.45,216,2,2,1.0,1,noun.act
rotate,0.45,217,2,2,1.0,1,noun.act
rotate,0.45,218,2,2,1.0,1,noun.act
rotate,0.45,220,2,2,1.0,1,noun.act
rotate,0.45,221,2,2,1.0,1,noun.act
rotate,0.45,241,2,2,0.5,2,noun.feeling
rotate,0.45,242,2,2,0.5,2,noun.feeling
rotate,0.45,248,2,2,1.0,1,noun.person
rotate,0.45,250,3,3,1.0,1,noun.person
rotate,0.45,254,2,2,1.0,1,noun.act
rotate,0.45,255,2,2,0.5,2,noun.cognition
rotate,0.45,256,2,2,1.0,1,noun.cognition
rotate,0.45,259,2,2,1.0,1,noun.act
rotate,0.45,260,3,2,0.5,2,noun.act
rotate,0.45,261,2,2,1.0,1,noun.cognition
rotate,0.45,263,2,2,0.5,2,noun.event
rotate,0.45,273,3,3,0.3333333333333333,3,noun.person
rotate,0.45,274,3,3,0.6666666666666666,2,noun.act
rotate,0.45,275,3,3,0.6666666666666666,2,noun.possession
rotate,0.45,276,3,3,0.3333333333333333,3,noun.person
rotate,0.45,279,3,3,0.3333333333333333,3,noun.artifact
rotate,0.45,280,2,2,1.0,1,noun.possession
rotate,0.45,281,2,2,1.0,1,noun.possession
rotate,0.45,282,2,2,1.0,1,noun.possession
rotate,0.45,283,2,2,0.5,2,noun.person
rotate,0.45,284,2,2,1.0,1,noun.person
rotate,0.45,286,2,2,1.0,1,noun.act
rotate,0.45,287,2,2,1.0,1,noun.act
rotate,0.45,288,2,2,0.5,2,noun.act
rotate,0.45,289,2,2,1.0,1,noun.act
rotate,0.45,290,2,2,1.0,1,noun.possession
rotate,0.45,291,2,2,1.0,1,noun.person
rotate,0.45,292,2,2,0.5,2,noun.possession
rotate,0.45,293,2,2,1.0,1,noun.possession
rotate,0.45,294,2,2,1.0,1,noun.possession
rotate,0.45,295,2,2,1.0,1,noun.possession
rotate,0.45,297,2,2,1.0,1,noun.act
rotate,0.45,299,2,2,1.0,1,noun.possession
rotate,0.45,300,2,2,0.5,2,noun.possession
rotate,0.45,303,3,3,0.6666666666666666,2,noun.act
rotate,0.45,304,2,2,0.5,2,noun.act
rotate,0.45,306,3,3,1.0,1,noun.act
rotate,0.45,307,2,2,1.0,1,noun.act
rotate,0.45,309,2,2,1.0,1,noun.plant
rotate,0.45,310,2,2,1.0,1,noun.plant
rotate,0.45,311,2,2,1.0,1,noun.plant
rotate,0.45,314,3,3,1.0,1,noun.plant
rotate,0.45,315,3,3,1.0,1,noun.plant
rotate,0.45,316,4,4,1.0,1,noun.plant
rotate,0.45,317,4,4,1.0,1,noun.plant
rotate,0.45,323,2,2,1.0,1,noun.plant
rotate,0.45,326,2,2,1.0,1,noun.act
rotate,0.45,327,3,3,0.6666666666666666,2,noun.person
rotate,0.45,328,2,2,1.0,1,noun.person
rotate,0.45,329,2,2,1.0,1,noun.act
rotate,0.45,332,2,2,0.5,2,noun.artifact
rotate,0.45,336,3,3,1.0,1,noun.attribute
rotate,0.45,337,4,4,1.0,1,noun.attribute
rotate,0.45,338,3,3,1.0,1,noun.attribute
rotate,0.45,339,3,3,1.0,1,noun.attribute
rotate,0.45,340,3,3,1.0,1,noun.attribute
rotate,0.45,341,3,3,1.0,1,noun.attribute
rotate,0.45,342,3,3,1.0,1,noun.attribute
rotate,0.45,343,2,2,1.0,1,noun.attribute
rotate,0.45,344,2,2,0.5,2,noun.state
rotate,0.45,345,2,2,1.0,1,noun.attribute
rotate,0.45,346,2,2,1.0,1,noun.attribute
rotate,0.45,347,2,2,1.0,1,noun.attribute
rotate,0.45,348,2,2,1.0,1,noun.attribute
rotate,0.45,349,3,3,1.0,1,noun.attribute
rotate,0.45,350,3,3,1.0,1,noun.attribute
rotate,0.45,351,2,2,1.0,1,noun.attribute
rotate,0.45,352,3,3,1.0,1,noun.attribute
rotate,0.45,353,3,3,1.0,1,noun.attribute
rotate,0.45,354,3,3,1.0,1,noun.attribute
rotate,0.45,355,3,3,1.0,1,noun.attribute
rotate,0.45,356,3,3,1.0,1,noun.attribute
rotate,0.45,357,3,3,1.0,1,noun.attribute
rotate,0.45,358,2,2,1.0,1,noun.attribute
rotate,0.45,359,3,3,1.0,1,noun.attribute
rotate,0.45,361,3,3,1.0,1,noun.attribute
rotate,0.45,362,3,3,1.0,1,noun.attribute
rotate,0.45,363,3,3,1.0,1,noun.attribute
rotate,0.45,364,3,3,1.0,1,noun.attribute
rotate,0.45,365,3,3,1.0,1,noun.attribute
rotate,0.45,366,2,2,1.0,1,noun.attribute
rotate,0.45,367,4,4,1.0,1,noun.attribute
rotate,0.45,368,3,3,1.0,1,noun.attribute
rotate,0.45,369,4,4,1.0,1,noun.attribute
rotate,0.45,370,5,5,1.0,1,noun.attribute
rotate,0.45,371,5,5,1.0,1,noun.attribute
rotate,0.45,372,3,3,1.0,1,noun.attribute
rotate,0.45,373,4,4,1.0,1,noun.attribute
rotate,0.45,374,4,4,1.0,1,noun.attribute
rotate,0.45,375,5,5,1.0,1,noun.attribute
rotate,0.45,376,6,6,1.0,1,noun.attribute
rotate,0.45,377,6,6,1.0,1,noun.attribute
rotate,0.45,378,6,6,1.0,1,noun.attribute
rotate,0.45,379,5,5,1.0,1,noun.attribute
rotate,0.45,380,4,4,1.0,1,noun.attribute
rotate,0.45,381,4,4,1.0,1,noun.attribute
rotate,0.45,382,3,3,1.0,1,noun.attribute
rotate,0.45,383,3,3,1.0,1,noun.attribute
rotate,0.45,384,2,2,1.0,1,noun.attribute
rotate,0.45,385,3,3,1.0,1,noun.attribute
rotate,0.45,386,4,4,1.0,1,noun.attribute
rotate,0.45,387,4,4,1.0,1,noun.attribute
rotate,0.45,388,3,3,1.0,1,noun.attribute
rotate,0.45,389,3,3,1.0,1,noun.attribute
rotate,0.45,390,2,2,1.0,1,noun.attribute
rotate,0.45,391,2,2,1.0,1,noun.attribute
rotate,0.45,409,2,2,0.5,2,noun.phenomenon
rotate,0.45,433,2,2,1.0,1,noun.act
rotate,0.45,444,2,2,1.0,1,noun.act
rotate,0.45,447,4,4,1.0,1,noun.act
rotate,0.45,448,4,4,1.0,1,noun.act
rotate,0.45,449,5,5,1.0,1,noun.act
rotate,0.45,450,5,5,1.0,1,noun.act
rotate,0.45,451,4,4,1.0,1,noun.act
rotate,0.45,452,5,5,1.0,1,noun.act
rotate,0.45,453,3,3,1.0,1,noun.act
rotate,0.45,454,2,2,0.5,2,noun.communication
rotate,0.45,455,2,2,0.5,2,noun.act
rotate,0.45,456,2,2,1.0,1,noun.act
rotate,0.45,459,4,4,1.0,1,noun.act
rotate,0.45,464,4,4,1.0,1,noun.act
rotate,0.45,465,4,4,1.0,1,noun.act
rotate,0.45,467,2,2,0.5,2,noun.state
rotate,0.45,468,2,2,0.5,2,noun.state
rotate,0.45,469,2,2,0.5,2,noun.act
rotate,0.45,470,2,2,1.0,1,noun.act
rotate,0.45,475,4,4,0.5,2,noun.state
rotate,0.45,476,4,4,0.5,3,noun.state
rotate,0.45,477,4,4,0.75,2,noun.state
rotate,0.45,478,4,4,0.75,2,noun.state
rotate,0.45,479,5,5,1.0,1,noun.artifact
rotate,0.45,480,4,4,1.0,1,noun.artifact
rotate,0.45,481,6,6,1.0,1,noun.artifact
rotate,0.45,482,7,7,1.0,1,noun.artifact
rotate,0.45,483,8,8,1.0,1,noun.artifact
rotate,0.45,484,7,7,1.0,1,noun.artifact
rotate,0.45,485,6,6,1.0,1,noun.artifact
rotate,0.45,486,7,7,1.0,1,noun.artifact
rotate,0.45,487,6,6,1.0,1,noun.artifact
rotate,0.45,488,6,6,1.0,1,noun.artifact
rotate,0.45,489,6,6,1.0,1,noun.artifact
rotate,0.45,490,6,6,1.0,1,noun.artifact
rotate,0.45,491,3,3,1.0,1,noun.artifact
rotate,0.45,492,2,2,1.0,1,noun.artifact
rotate,0.45,493,3,2,0.5,2,noun.state
rotate,0.45,494,3,2,0.5,2,noun.state
rotate,0.45,495,3,3,1.0,1,noun.artifact
rotate,0.45,496,2,2,1.0,1,noun.artifact
rotate,0.45,497,4,4,1.0,1,noun.artifact
rotate,0.45,498,4,4,1.0,1,noun.artifact
rotate,0.45,499,2,2,1.0,1,noun.artifact
rotate,0.45,500,2,2,1.0,1,noun.artifact
rotate,0.45,501,2,2,1.0,1,noun.artifact
rotate,0.45,502,2,2,0.5,2,noun.artifact
rotate,0.45,503,2,2,0.5,2,noun.artifact
rotate,0.45,504,2,2,1.0,1,noun.artifact
rotate,0.45,505,2,2,1.0,1,noun.artifact
rotate,0.45,506,2,2,1.0,1,noun.artifact
rotate,0.45,507,2,2,0.5,2,noun.artifact
rotate,0.45,508,2,2,1.0,1,noun.artifact
rotate,0.45,509,4,4,1.0,1,noun.artifact
rotate,0.45,510,3,3,1.0,1,noun.artifact
rotate,0.45,511,2,2,1.0,1,noun.artifact
rotate,0.45,512,2,2,1.0,1,noun.artifact
rotate,0.45,513,2,2,0.5,2,noun.act
rotate,0.45,514,3,3,1.0,1,noun.artifact
rotate,0.45,515,3,3,1.0,1,noun.artifact
rotate,0.45,516,2,2,1.0,1,noun.artifact
rotate,0.45,517,2,2,0.5,2,noun.relation
rotate,0.45,518,2,2,1.0,1,noun.artifact
