community_id,size
0,364
1,407
2,147
3,127
4,110
5,205
6,335
7,2
8,326
9,199
10,185
11,533
12,1
13,3
14,428
15,151
16,5
17,335
18,1
19,195
20,2
21,3
22,291
23,264
24,213
25,432
26,379
27,174
28,211
29,445
30,261
31,418
32,115
33,401
34,300
35,463
36,14
37,2
38,208
39,3
40,398
41,274
42,479
43,237
44,4
45,191
46,3
47,203
48,1
49,439
50,386
51,1
52,1
53,3
54,236
55,412
56,1
57,270
58,9
59,2
60,403
61,2
62,4
63,539
64,7
65,321
66,434
67,340
68,1
70,2
71,310
72,1
73,1
74,5
75,1
76,212
77,2
78,1
79,2
80,490
81,170
82,349
83,188
84,2
85,1
86,361
87,3
88,214
89,2
90,1
91,1
92,2
93,2
94,4
95,1
96,1
97,179
98,3
99,3
100,2
101,202
102,3
103,320
104,2
105,3
106,4
107,6
108,1
109,175
110,1
111,1
112,318
113,2
114,2
115,1
116,1
117,1
118,114
119,1
120,194
121,1
122,1
123,222
124,247
125,171
126,296
127,3
128,1
129,274
130,93
131,164
132,2
133,150
134,5
135,1
136,1
137,5
138,7
139,1
140,355
141,1
142,113
143,1
144,712
145,5
146,169
147,6
148,336
149,1
150,2
151,4
152,190
153,9
154,1
155,157
156,220
157,204
158,2
159,84
160,303
161,1
162,1
163,1
164,268
165,1
166,6
167,235
168,1
169,318
170,2
171,196
172,1
173,1
174,2
175,1
176,1
177,1
178,1
179,1
180,3
181,2
182,1
183,189
184,1
185,1
186,1
187,121
188,2
189,1
190,1
191,4
192,1
193,125
194,1
195,1
196,1
197,2
198,4
199,1
200,1
201,1
202,1
203,3
204,1
205,1
206,2
207,3
208,1
209,1
210,2
211,2
212,4
213,8
214,1
215,225
216,1
217,219
218,1
219,1
220,1
221,1
222,2
223,1
224,3
225,1
226,1
227,7
228,1
229,1
230,2
231,1
232,276
233,1
234,1
235,1
236,1
237,2
238,2
239,1
240,2
241,1
242,1
243,1
244,1
245,3
246,2
247,1
248,1
249,2
250,1
251,2
252,1
253,3
254,1
255,1
256,3
257,225
258,1
259,1
260,1
261,2
262,1
263,2
264,1
265,655
266,6
267,2
268,142
269,2
270,3
271,2
272,3
273,1
274,175
275,1
276,1
277,1
278,1
279,1
280,2
281,1
282,1
283,2
284,3
285,1
286,1
287,1
288,1
289,5
290,2
291,1
292,1
293,1
294,1
295,1
296,1
297,1
298,3
299,1
300,2
301,1
302,1
303,4
304,1
305,1
306,1
307,2
308,3
309,1
310,1
311,5
312,7
313,1
314,2
315,1
316,1
317,2
318,1
319,5
320,2
321,4
322,2
323,2
324,7
325,3
326,1
327,2
328,1
329,2
330,2
331,284
332,3
333,1
334,1
335,1
336,1
337,1
338,2
339,2
340,1
341,2
342,2
343,1
344,1
345,4
346,1
347,1
348,132
349,1
350,72
351,1
352,7
