model,tau,cluster_id,size,labelled_size,lexical_domain_purity,n_distinct_domains,dominant_domain
transe,0.45,1,2,2,1.0,1,noun.act
transe,0.45,14,2,2,1.0,1,noun.person
transe,0.45,15,2,2,1.0,1,noun.person
transe,0.45,16,2,2,1.0,1,noun.person
transe,0.45,17,2,2,1.0,1,noun.person
transe,0.45,19,3,2,1.0,1,noun.person
transe,0.45,20,2,2,1.0,1,noun.person
transe,0.45,21,2,2,1.0,1,noun.person
transe,0.45,30,2,2,0.5,2,noun.artifact
transe,0.45,34,2,2,1.0,1,noun.communication
transe,0.45,39,2,2,0.5,2,noun.Tops
transe,0.45,42,3,2,0.5,2,noun.communication
transe,0.45,44,3,2,1.0,1,noun.attribute
transe,0.45,45,3,2,1.0,1,noun.attribute
transe,0.45,46,2,2,1.0,1,noun.attribute
transe,0.45,48,2,2,1.0,1,noun.act
transe,0.45,49,2,2,0.5,2,noun.act
transe,0.45,50,2,2,0.5,2,noun.act
transe,0.45,51,2,2,1.0,1,noun.act
transe,0.45,60,2,2,1.0,1,noun.artifact
transe,0.45,62,2,2,1.0,1,noun.artifact
transe,0.45,65,2,2,1.0,1,noun.artifact
transe,0.45,69,2,2,1.0,1,noun.person
transe,0.45,70,2,2,1.0,1,noun.act
transe,0.45,75,2,2,1.0,1,noun.plant
transe,0.45,77,2,2,1.0,1,noun.quantity
transe,0.45,79,2,2,0.5,2,noun.quantity
transe,0.45,80,2,2,1.0,1,noun.quantity
transe,0.45,85,2,2,1.0,1,noun.act
transe,0.45,87,3,2,1.0,1,noun.state
transe,0.45,93,2,2,0.5,2,noun.quantity
transe,0.45,94,2,2,0.5,2,noun.quantity
transe,0.45,95,2,2,1.0,1,noun.quantity
transe,0.45,96,3,3,1.0,1,noun.quantity
transe,0.45,97,2,2,0.5,2,noun.quantity
transe,0.45,99,3,3,1.0,1,noun.act
transe,0.45,100,2,2,0.5,2,noun.communication
transe,0.45,101,2,2,1.0,1,noun.artifact
transe,0.45,102,2,2,1.0,1,noun.artifact
transe,0.45,103,2,2,1.0,1,noun.artifact
transe,0.45,105,2,2,1.0,1,noun.artifact
transe,0.45,108,2,2,0.5,2,noun.act
transe,0.45,109,2,2,1.0,1,noun.person
transe,0.45,110,2,2,1.0,1,noun.plant
transe,0.45,111,2,2,1.0,1,noun.plant
transe,0.45,113,2,2,1.0,1,noun.plant
transe,0.45,114,2,2,1.0,1,noun.plant
transe,0.45,116,2,2,1.0,1,noun.plant
transe,0.45,127,2,2,0.5,2,noun.act
transe,0.45,131,2,2,1.0,1,noun.substance
transe,0.45,133,2,2,1.0,1,noun.substance
transe,0.45,142,2,2,1.0,1,noun.act
transe,0.45,146,2,2,1.0,1,noun.relation
transe,0.45,147,2,2,1.0,1,noun.relation
transe,0.45,149,2,2,1.0,1,noun.act
transe,0.45,150,2,2,1.0,1,noun.act
transe,0.45,151,2,2,1.0,1,noun.act
transe,0.45,152,2,2,0.5,2,noun.person
transe,0.45,153,3,3,0.3333333333333333,3,noun.person
transe,0.45,154,3,3,0.6666666666666666,2,noun.act
transe,0.45,156,2,2,1.0,1,noun.act
transe,0.45,157,2,2,1.0,1,noun.act
transe,0.45,158,2,2,1.0,1,noun.communication
transe,0.45,159,2,2,1.0,1,noun.communication
transe,0.45,160,2,2,0.5,2,noun.artifact
transe,0.45,163,2,2,1.0,1,noun.communication
transe,0.45,164,2,2,1.0,1,noun.communication
transe,0.45,165,2,2,1.0,1,noun.act
transe,0.45,167,2,2,1.0,1,noun.act
transe,0.45,170,2,2,1.0,1,noun.artifact
transe,0.45,180,3,2,1.0,1,noun.act
transe,0.45,182,3,2,1.0,1,noun.person
transe,0.45,186,2,2,1.0,1,noun.act
transe,0.45,192,2,2,1.0,1,noun.act
transe,0.45,200,2,2,1.0,1,noun.act
transe,0.45,202,2,2,1.0,1,noun.act
transe,0.45,212,2,2,1.0,1,noun.person
transe,0.45,229,2,2,0.5,2,noun.cognition
transe,0.45,230,2,2,0.5,2,noun.cognition
transe,0.45,232,2,2,0.5,2,noun.body
transe,0.45,234,2,2,1.0,1,noun.person
transe,0.45,245,2,2,0.5,2,noun.animal
transe,0.45,248,2,2,1.0,1,noun.quantity
transe,0.45,249,2,2,1.0,1,noun.artifact
transe,0.45,250,2,2,1.0,1,noun.artifact
transe,0.45,251,2,2,1.0,1,noun.artifact
transe,0.45,252,3,2,0.5,2,noun.artifact
transe,0.45,257,3,2,0.5,2,noun.event
transe,0.45,263,2,2,1.0,1,noun.possession
transe,0.45,271,2,2,1.0,1,noun.attribute
transe,0.45,278,3,2,0.5,2,noun.artifact
transe,0.45,283,3,2,1.0,1,noun.act
transe,0.45,289,2,2,1.0,1,noun.cognition
transe,0.45,291,2,2,1.0,1,noun.cognition
transe,0.45,292,2,2,1.0,1,noun.cognition
transe,0.45,293,2,2,1.0,1,noun.cognition
transe,0.45,305,2,2,1.0,1,noun.person
transe,0.45,306,2,2,1.0,1,noun.person
transe,0.45,307,2,2,1.0,1,noun.person
transe,0.45,311,2,2,1.0,1,noun.attribute
transe,0.45,312,2,2,1.0,1,noun.attribute
transe,0.45,317,2,2,1.0,1,noun.act
transe,0.45,321,2,2,1.0,1,noun.act
transe,0.45,323,2,2,1.0,1,noun.person
transe,0.45,324,2,2,1.0,1,noun.person
transe,0.45,336,2,2,0.5,2,noun.act
transe,0.45,337,2,2,1.0,1,noun.act
transe,0.45,342,2,2,1.0,1,noun.act
transe,0.45,343,3,3,1.0,1,noun.artifact
transe,0.45,344,2,2,1.0,1,noun.artifact
transe,0.45,345,2,2,1.0,1,noun.artifact
transe,0.45,346,2,2,1.0,1,noun.artifact
transe,0.45,347,2,2,1.0,1,noun.artifact
transe,0.45,348,2,2,1.0,1,noun.act
transe,0.45,349,2,2,1.0,1,noun.act
transe,0.45,350,2,2,1.0,1,noun.act
transe,0.45,351,2,2,1.0,1,noun.act
transe,0.45,352,2,2,1.0,1,noun.artifact
transe,0.45,353,2,2,0.5,2,noun.artifact
transe,0.45,354,2,2,1.0,1,noun.artifact
transe,0.45,355,2,2,1.0,1,noun.artifact
transe,0.45,356,2,2,0.5,2,noun.location
transe,0.45,364,2,2,0.5,2,noun.communication
transe,0.45,373,2,2,1.0,1,noun.act
transe,0.45,374,2,2,1.0,1,noun.act
transe,0.45,376,2,2,1.0,1,noun.act
transe,0.45,380,2,2,1.0,1,noun.person
transe,0.45,381,2,2,1.0,1,noun.person
transe,0.45,388,2,2,1.0,1,noun.act
transe,0.45,390,2,2,1.0,1,noun.act
transe,0.45,391,2,2,1.0,1,noun.act
transe,0.45,398,2,2,1.0,1,noun.person
transe,0.45,400,2,2,1.0,1,noun.person
transe,0.45,409,2,2,0.5,2,noun.process
transe,0.45,414,2,2,1.0,1,noun.feeling
transe,0.45,415,2,2,1.0,1,noun.cognition
transe,0.45,420,2,2,0.5,2,noun.act
transe,0.45,421,2,2,0.5,2,noun.person
transe,0.45,422,2,2,1.0,1,noun.person
transe,0.45,423,2,2,1.0,1,noun.person
transe,0.45,424,2,2,1.0,1,noun.person
transe,0.45,425,2,2,1.0,1,noun.group
transe,0.45,426,2,2,0.5,2,noun.group
transe,0.45,427,2,2,0.5,2,noun.group
transe,0.45,428,2,2,1.0,1,noun.group
transe,0.45,429,2,2,1.0,1,noun.group
transe,0.45,430,2,2,0.5,2,noun.act
transe,0.45,431,2,2,0.5,2,noun.act
transe,0.45,432,2,2,1.0,1,noun.person
transe,0.45,433,2,2,0.5,2,noun.act
transe,0.45,434,2,2,1.0,1,noun.person
transe,0.45,435,2,2,1.0,1,noun.person
transe,0.45,436,2,2,1.0,1,noun.person
transe,0.45,437,2,2,1.0,1,noun.person
transe,0.45,438,2,2,1.0,1,noun.person
transe,0.45,439,2,2,1.0,1,noun.person
transe,0.45,440,2,2,0.5,2,noun.person
transe,0.45,441,2,2,0.5,2,noun.act
transe,0.45,445,2,2,1.0,1,noun.act
transe,0.45,449,2,2,0.5,2,noun.person
transe,0.45,451,2,2,0.5,2,noun.act
transe,0.45,452,2,2,0.5,2,noun.person
transe,0.45,453,2,2,0.5,2,noun.person
transe,0.45,454,2,2,0.5,2,noun.person
transe,0.45,455,2,2,1.0,1,noun.group
transe,0.45,456,2,2,0.5,2,noun.group
transe,0.45,459,2,2,0.5,2,noun.person
transe,0.45,472,2,2,0.5,2,noun.person
transe,0.45,473,2,2,1.0,1,noun.person
transe,0.45,474,2,2,0.5,2,noun.person
transe,0.45,475,2,2,0.5,2,noun.event
transe,0.45,476,2,2,0.5,2,noun.event
transe,0.45,477,2,2,0.5,2,noun.event
transe,0.45,478,2,2,0.5,2,noun.act
transe,0.45,479,2,2,0.5,2,noun.cognition
transe,0.45,482,3,3,1.0,1,noun.attribute
transe,0.45,483,2,2,1.0,1,noun.attribute
transe,0.45,484,3,2,1.0,1,noun.attribute
transe,0.45,486,2,2,0.5,2,noun.communication
transe,0.45,488,2,2,1.0,1,noun.communication
transe,0.45,489,2,2,0.5,2,noun.cognition
transe,0.45,490,2,2,0.5,2,noun.act
transe,0.45,498,2,2,1.0,1,noun.group
transe,0.45,513,2,2,1.0,1,noun.act
transe,0.45,514,2,2,1.0,1,noun.act
transe,0.45,519,2,2,1.0,1,noun.act
transe,0.45,524,2,2,1.0,1,noun.act
transe,0.45,525,2,2,1.0,1,noun.act
transe,0.45,526,2,2,1.0,1,noun.act
transe,0.45,527,2,2,1.0,1,noun.act
transe,0.45,531,4,2,0.5,2,noun.attribute
transe,0.45,532,4,2,1.0,1,noun.person
transe,0.45,534,3,2,1.0,1,noun.act
transe,0.45,535,2,2,1.0,1,noun.act
transe,0.45,537,2,2,1.0,1,noun.attribute
transe,0.45,538,2,2,1.0,1,noun.act
transe,0.45,545,2,2,1.0,1,noun.person
transe,0.45,546,2,2,1.0,1,noun.person
transe,0.45,547,2,2,1.0,1,noun.person
transe,0.45,548,2,2,1.0,1,noun.person
transe,0.45,549,2,2,1.0,1,noun.person
transe,0.45,552,2,2,1.0,1,noun.animal
transe,0.45,553,2,2,0.5,2,noun.act
transe,0.45,554,2,2,1.0,1,noun.act
transe,0.45,555,2,2,0.5,2,noun.act
transe,0.45,557,2,2,0.5,2,noun.group
transe,0.45,558,2,2,1.0,1,noun.state
transe,0.45,559,2,2,1.0,1,noun.state
transe,0.45,560,2,2,1.0,1,noun.state
transe,0.45,561,2,2,1.0,1,noun.state
transe,0.45,562,2,2,1.0,1,noun.state
transe,0.45,563,2,2,1.0,1,noun.state
transe,0.45,564,2,2,1.0,1,noun.state
transe,0.45,565,2,2,1.0,1,noun.state
transe,0.45,566,2,2,1.0,1,noun.state
transe,0.45,567,2,2,1.0,1,noun.state
transe,0.45,568,2,2,1.0,1,noun.state
transe,0.45,569,2,2,1.0,1,noun.state
transe,0.45,570,2,2,1.0,1,noun.state
transe,0.45,571,2,2,1.0,1,noun.state
transe,0.45,572,2,2,1.0,1,noun.state
transe,0.45,573,2,2,1.0,1,noun.state
