clique_id,size,hard_coherence,soft_coherence
0,2,1.0,0.5
1,2,1.0,1.0
2,2,0.5,0.3333333333333333
3,2,0.5,0.3333333333333333
4,2,0.5,0.3333333333333333
5,2,1.0,0.5
6,2,0.5,0.3333333333333333
7,2,0.5,0.3333333333333333
8,2,0.5,0.5
9,2,0.5,0.3333333333333333
10,2,1.0,1.0
11,3,1.0,1.0
12,2,0.5,1.0
13,2,0.5,0.3333333333333333
14,2,0.5,0.5
15,2,0.5,0.3333333333333333
16,2,0.5,0.3333333333333333
17,2,0.5,0.3333333333333333
18,2,0.5,0.3333333333333333
19,2,1.0,1.0
20,2,1.0,1.0
21,2,1.0,1.0
22,2,1.0,1.0
23,2,1.0,1.0
24,2,1.0,1.0
25,3,1.0,1.0
26,2,1.0,1.0
27,2,0.5,0.6666666666666666
28,2,0.5,1.0
29,3,0.6666666666666666,1.0
30,3,0.6666666666666666,0.7777777777777777
31,2,0.5,0.6666666666666666
32,3,0.6666666666666666,1.0
33,2,1.0,1.0
34,3,1.0,1.0
35,3,1.0,1.0
36,3,1.0,0.7777777777777777
37,2,1.0,0.6666666666666666
38,2,0.5,0.5
39,2,1.0,0.5
40,2,0.5,1.0
41,2,1.0,1.0
42,2,0.5,0.5
43,4,1.0,1.0
44,3,1.0,1.0
45,2,1.0,1.0
46,2,0.5,1.0
47,2,0.5,0.6666666666666666
48,2,1.0,1.0
49,2,1.0,1.0
50,3,0.6666666666666666,0.6666666666666666
51,2,1.0,1.0
52,2,1.0,1.0
53,2,1.0,1.0
54,2,1.0,1.0
55,2,0.5,0.5
56,4,0.75,0.75
57,4,1.0,1.0
58,3,1.0,1.0
59,3,1.0,1.0
60,6,1.0,0.8333333333333334
61,6,1.0,0.8333333333333334
62,8,1.0,0.875
63,7,1.0,0.8571428571428571
64,5,1.0,0.8
65,4,0.75,0.6666666666666666
66,4,1.0,1.0
67,3,1.0,0.6666666666666666
68,2,1.0,1.0
69,2,1.0,0.5
70,2,1.0,0.5
71,4,0.75,0.5555555555555555
72,4,1.0,0.6666666666666666
73,2,0.5,0.3333333333333333
74,4,0.75,0.75
75,5,0.8,0.8
76,5,0.8,0.8
77,4,0.75,0.75
78,3,0.6666666666666666,0.6666666666666666
79,3,0.6666666666666666,0.6666666666666666
80,3,0.6666666666666666,0.4444444444444444
81,2,0.5,0.5
82,3,1.0,1.0
83,2,0.5,0.16666666666666666
84,2,0.5,0.5
85,2,1.0,1.0
86,4,1.0,1.0
87,3,1.0,1.0
88,3,1.0,1.0
89,4,1.0,1.0
90,2,0.5,0.3333333333333333
91,2,1.0,0.3333333333333333
92,3,1.0,0.6666666666666666
93,2,1.0,1.0
94,3,1.0,1.0
95,3,1.0,1.0
96,2,0.5,0.5
97,2,1.0,0.5
98,3,1.0,1.0
99,4,1.0,1.0
100,6,1.0,0.6133333333333333
101,3,1.0,1.0
102,3,1.0,1.0
103,4,1.0,0.75
104,4,0.75,0.6666666666666666
105,4,1.0,1.0
106,4,1.0,1.0
107,3,1.0,0.4444444444444444
108,4,1.0,0.75
109,6,1.0,1.0
110,7,1.0,1.0
111,4,1.0,0.75
112,5,1.0,1.0
113,4,1.0,0.6666666666666666
114,6,1.0,0.6388888888888888
115,6,1.0,0.6388888888888888
116,5,1.0,0.6333333333333333
117,4,1.0,0.6666666666666666
118,3,0.6666666666666666,0.6666666666666666
119,2,1.0,0.3333333333333333
120,3,1.0,0.5
121,3,1.0,0.4444444444444444
122,3,1.0,1.0
123,4,1.0,1.0
124,3,1.0,1.0
125,2,1.0,0.3333333333333333
126,4,0.75,0.4861111111111111
127,2,0.5,0.16666666666666666
128,3,1.0,0.6666666666666666
129,2,1.0,1.0
130,3,1.0,1.0
131,3,1.0,1.0
132,3,1.0,0.6666666666666666
133,5,1.0,1.0
134,2,1.0,1.0
135,3,1.0,0.6666666666666666
136,2,1.0,0.5
137,2,1.0,0.5
138,2,1.0,1.0
139,2,1.0,1.0
140,5,1.0,1.0
141,2,1.0,0.5
142,3,1.0,1.0
143,2,1.0,1.0
144,4,1.0,1.0
145,7,0.8571428571428571,0.7619047619047619
146,2,1.0,1.0
147,7,0.8571428571428571,0.7619047619047619
148,2,1.0,1.0
149,3,1.0,1.0
150,2,1.0,0.16666666666666666
151,2,1.0,1.0
152,2,1.0,1.0
153,2,1.0,0.5
154,2,1.0,1.0
155,2,0.5,0.5
156,4,1.0,1.0
157,4,1.0,1.0
158,3,1.0,1.0
159,8,1.0,1.0
160,3,1.0,1.0
161,4,1.0,1.0
162,5,1.0,1.0
163,4,1.0,1.0
164,4,1.0,0.75
165,3,1.0,1.0
166,2,1.0,1.0
167,4,1.0,0.75
168,3,1.0,1.0
169,4,1.0,1.0
170,4,1.0,0.75
171,4,1.0,1.0
172,3,1.0,1.0
173,3,1.0,1.0
174,2,1.0,0.5
175,3,1.0,1.0
176,5,1.0,1.0
177,7,1.0,1.0
178,7,1.0,1.0
179,7,1.0,1.0
180,6,1.0,1.0
181,6,1.0,1.0
182,6,1.0,1.0
183,5,1.0,1.0
184,2,1.0,1.0
185,2,1.0,0.25
186,4,1.0,1.0
187,2,1.0,1.0
188,2,1.0,1.0
189,2,1.0,1.0
190,4,1.0,1.0
191,4,1.0,1.0
192,2,1.0,1.0
193,2,1.0,1.0
194,3,1.0,0.6666666666666666
195,2,1.0,1.0
196,2,1.0,0.75
197,2,0.5,0.3333333333333333
198,3,1.0,1.0
199,4,1.0,1.0
200,8,1.0,1.0
201,5,1.0,0.8
202,9,1.0,1.0
203,9,1.0,1.0
204,11,1.0,1.0
205,11,1.0,1.0
206,11,1.0,1.0
207,11,1.0,1.0
208,11,1.0,1.0
209,7,1.0,1.0
210,7,1.0,1.0
211,7,1.0,1.0
212,6,1.0,1.0
213,5,1.0,1.0
214,2,1.0,1.0
215,3,1.0,1.0
216,2,1.0,1.0
217,2,0.5,0.0
218,2,1.0,1.0
219,3,0.6666666666666666,0.3333333333333333
220,5,1.0,1.0
221,4,1.0,1.0
222,3,0.3333333333333333,0.0
223,3,0.6666666666666666,0.3333333333333333
224,3,0.6666666666666666,0.3333333333333333
225,3,1.0,1.0
226,3,1.0,1.0
227,3,1.0,1.0
228,2,1.0,1.0
229,4,1.0,1.0
230,3,1.0,1.0
231,2,1.0,1.0
232,3,1.0,1.0
233,2,1.0,1.0
234,2,1.0,1.0
235,2,1.0,1.0
236,2,1.0,1.0
237,4,1.0,0.75
238,2,1.0,1.0
239,2,1.0,1.0
240,4,1.0,0.5555555555555556
241,3,1.0,0.6666666666666666
242,3,1.0,1.0
243,2,1.0,0.5
244,2,1.0,0.5
245,5,1.0,1.0
246,4,1.0,1.0
247,5,1.0,1.0
248,4,1.0,1.0
249,4,1.0,1.0
250,3,1.0,1.0
251,2,1.0,1.0
252,2,1.0,0.5
253,4,1.0,1.0
254,3,1.0,1.0
255,2,1.0,1.0
256,2,0.5,0.8
257,5,1.0,0.6333333333333333
258,4,1.0,1.0
259,4,1.0,0.75
260,9,1.0,1.0
261,10,1.0,1.0
262,10,1.0,1.0
263,12,1.0,1.0
264,12,1.0,1.0
265,13,1.0,1.0
266,12,1.0,1.0
267,13,1.0,1.0
268,9,1.0,1.0
269,8,1.0,0.875
270,8,1.0,1.0
271,8,1.0,1.0
272,7,1.0,1.0
273,8,1.0,0.875
274,8,1.0,0.875
275,3,1.0,1.0
276,2,1.0,1.0
277,2,1.0,1.0
278,5,1.0,1.0
279,3,1.0,1.0
280,5,1.0,1.0
281,5,1.0,1.0
282,5,1.0,1.0
283,3,1.0,1.0
284,3,1.0,1.0
285,2,1.0,0.5
286,2,1.0,0.5
287,2,1.0,1.0
288,2,1.0,1.0
289,2,1.0,1.0
290,2,1.0,1.0
291,2,1.0,1.0
292,2,1.0,0.5
293,2,1.0,1.0
294,3,1.0,0.6666666666666666
295,2,1.0,1.0
296,2,1.0,1.0
297,2,1.0,1.0
298,2,1.0,0.5
299,2,1.0,1.0
300,2,1.0,0.5
301,2,1.0,0.5
302,2,1.0,1.0
303,2,1.0,1.0
304,3,1.0,1.0
305,5,1.0,1.0
306,4,1.0,1.0
307,2,1.0,1.0
308,2,1.0,0.5
309,2,1.0,1.0
310,2,1.0,1.0
311,2,1.0,1.0
312,3,1.0,0.6666666666666666
313,2,1.0,1.0
314,2,1.0,0.5
315,2,1.0,1.0
316,2,1.0,1.0
317,2,1.0,1.0
318,2,1.0,1.0
319,2,1.0,1.0
320,2,1.0,0.5
321,2,1.0,1.0
322,2,1.0,1.0
323,5,1.0,1.0
324,5,1.0,1.0
325,4,1.0,1.0
326,5,1.0,1.0
327,9,1.0,1.0
328,9,1.0,1.0
329,8,1.0,1.0
330,9,1.0,1.0
331,8,1.0,1.0
332,9,1.0,1.0
333,9,1.0,1.0
334,8,1.0,1.0
335,2,1.0,0.5
336,2,1.0,1.0
337,2,1.0,1.0
338,2,1.0,1.0
339,4,1.0,1.0
340,4,1.0,1.0
341,2,1.0,0.5
342,8,1.0,1.0
343,8,1.0,1.0
344,8,1.0,0.7619047619047619
345,9,1.0,0.8888888888888888
346,9,1.0,0.8888888888888888
347,3,1.0,1.0
348,5,1.0,1.0
349,6,1.0,1.0
350,8,1.0,1.0
351,3,1.0,0.6666666666666666
352,2,1.0,1.0
353,2,1.0,1.0
354,2,1.0,1.0
355,6,1.0,0.8333333333333334
356,2,1.0,1.0
357,4,1.0,1.0
358,4,1.0,1.0
359,3,1.0,0.6666666666666666
360,2,1.0,1.0
361,2,1.0,1.0
362,2,1.0,1.0
363,2,1.0,1.0
364,4,1.0,1.0
365,3,1.0,1.0
366,4,1.0,1.0
367,3,1.0,0.6666666666666666
368,6,1.0,1.0
