Model,Tau,Clique_Size,Lexical_Domain_Purity,Dominant_Domain,N_Domains,Domain_Distribution,Entity_IDs
ROTATE,0.45,22,1.0,noun.plant,1,{'noun.plant': 22},"['11661207', '11622988', '11628284', '11630351', '11656974', '11662764', '11600900', '11641788', '11659500', '11620560']"
ROTATE,0.45,22,1.0,noun.plant,1,{'noun.plant': 22},"['11661207', '11622988', '11628284', '11630351', '11656974', '11662764', '11600900', '11641788', '11659500', '11620560']"
ROTATE,0.45,22,1.0,noun.plant,1,{'noun.plant': 22},"['11661207', '11622988', '11628284', '11630351', '11656974', '11662764', '11600900', '11641788', '11659500', '11620560']"
ROTATE,0.45,22,1.0,noun.plant,1,{'noun.plant': 22},"['11661207', '11622988', '11628284', '11630351', '11656974', '11662764', '11618750', '11641788', '11659500', '11654667']"
ROTATE,0.45,22,1.0,noun.plant,1,{'noun.plant': 22},"['11661207', '11622988', '11628284', '11630351', '11656974', '11662764', '11618750', '11641788', '11659500', '11654667']"
ROTATE,0.45,6,1.0,noun.group,1,{'noun.group': 6},"['07947958', '07950418', '08369406', '08179205', '07949463', '07943480']"
ROTATE,0.45,6,1.0,noun.group,1,{'noun.group': 6},"['07947958', '07950418', '08369406', '08179205', '07949463', '07947255']"
ROTATE,0.45,6,1.0,noun.group,1,{'noun.group': 6},"['07947958', '07950418', '08369406', '08179205', '07949463', '08166552']"
ROTATE,0.45,6,1.0,noun.group,1,{'noun.group': 6},"['07947958', '07950418', '08369406', '08179205', '08401554', '07943480']"
ROTATE,0.45,6,1.0,noun.group,1,{'noun.group': 6},"['07947958', '07950418', '08369406', '08179205', '08401554', '07947255']"
TRANSE,0.45,3,1.0,noun.person,1,{'noun.person': 2},"['10020890', '02893338', '10679174']"
TRANSE,0.45,3,1.0,noun.attribute,1,{'noun.attribute': 2},"['04635631', '00033574', '04635953']"
TRANSE,0.45,3,1.0,noun.attribute,1,{'noun.attribute': 2},"['04635631', '00039592', '04636397']"
ROTATE,0.45,3,1.0,noun.person,1,{'noun.person': 3},"['09779280', '10379620', '10785085']"
ROTATE,0.45,3,1.0,noun.act,1,{'noun.act': 3},"['01116026', '01117541', '00093006']"
